Team,Country,R_word_count,R_char_count,R_word_density,R_punc_count,Job Description - Cleaned,C_word_count,C_char_count,C_word_density,C_punc_count,Business Development & Support,Customer Service,Data Science & Analytics,Design & User Experience,Engineering,Finance,Finance & Legal,IT Services,Leadership,Legal & Public Affairs,Marketing & Communications,People,Product,Security & Infrastructure,Score,Score_median,Score_max,Category
Security & Infrastructure,Netherlands,781,4459,0.17511210762331839,133,site reliability engineer developer tool booking.com data drive decision technology core innovation everywhere company datasets line code a/b test thrill first night new place excitement next morning friend make journey take sight see food sample product partner people empower everyone experience world truly global e-commerce company business operation nearly every country city planet want make easy everyone anywhere world pay travel business platform whenever however convenient developer experience developer experience part core platform unit want create world-class tool developer allow spend minimal time fight database configuration healthy code environment whether vms container bare-metal developer tool within developer experience unit developer tool team responsible provide environment software development workflow tool enables booking.com developer best work build awesome travel product accomplish provide fast safe easy use path concept production without unneeded distraction scope include instance developer tool like gitlab artifactory bazel sonarcube sourcegraph dev test environment ci centralize build tool harness cd api gateway sre booking.com core premise book sre lie treat operational issue software problem code way problem operation concerned address availability scalability latency efficiency challenge within vast infrastructure book member one developer experience team give freedom make meaningful measurable improvement impact million people work one big e-commerce company world drive development whole tech organisation 2.5k people b.responsible design develop implement system software improves stability scalability availability latency booking.com product take ownership one service freedom best business customer solve problem occur highly available production system build solution automation prevent happen build effective monitoring monitor health system jump handle outage build run capacity test manage growth system plan reliability design system work across multinational data center develop tool assist product development team successfully deploy 1000 change set every day advocate engineering best practice share on-call rotation escalation contact incident contribute booking.com 's growth interview on-boarding recruitment effort b.skilled solid experience least one program language experience building operating maintain scalable distribute system operation automation experience infrastructure code technology knowledge cloud compute fundamental solid foundation linux administration troubleshoot understand service level agreement objective additional experience openstack kubernetes networking security storage desirable monitoring observability technology like prometheus graphite grafana kibana elasticsearch plus good interpersonal skill proficient command english language write spoken b.offered performance-based company offer career advancement lucrative compensation include bonus stock potential also offer call book deal competitive perk benefit technology department monthly hackathons training attends/speaks global conference position open worldwide candidate case relocation assist generous relocation package ensure smooth transition work living amsterdam successfully relocate 300+ technology professional amsterdam last year value diversity type open dynamic workplace pillar booking.com since day one something continue strongly believe build today booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race colour religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive,469,3328,0.14088314809252028,22,10,4,3,8,9,2,1,10,12,2,2,7,8,16,94,7.5,16,Developer
Security & Infrastructure,Netherlands,775,4419,0.1753393665158371,132,booking.com data drive decision technology core innovation everywhere company datasets line code a/b test thrill first night new place excitement next morning friend make journey take sight see food sample product partner people empower everyone experience world truly global e-commerce company business operation nearly every country city planet want make easy everyone anywhere world pay travel business platform whenever however convenient developer experience developer experience part core platform unit want create world-class tool developer allow spend minimal time fight database configuration healthy code environment whether vms container bare-metal developer tool within developer experience unit developer tool team responsible provide environment software development workflow tool enables booking.com developer best work build awesome travel product accomplish provide fast safe easy use path concept production without unneeded distraction scope include instance developer tool like gitlab artifactory bazel sonarcube sourcegraph dev test environment ci centralize build tool harness cd api gateway sre booking.com core premise book sre lie treat operational issue software problem code way problem operation concerned address availability scalability latency efficiency challenge within vast infrastructure book member one developer experience team give freedom make meaningful measurable improvement impact million people work one big e-commerce company world drive development whole tech organization 2.5k people b.responsible design develop implement system software improves stability scalability availability latency booking.com product take ownership one service freedom best business customer solve problem occur highly available production system build solution automation prevent happen build effective monitoring monitor health system jump handle outage build run capacity test manage growth system plan reliability design system work across multinational data center develop tool assist product development team successfully deploy 1000 change set every day advocate engineering best practice share on-call rotation escalation contact incident contribute booking.com 's growth interview on-boarding recruitment effort b.skilled solid experience least one program language experience building operating maintain scalable distribute system operation automation experience infrastructure code technology knowledge cloud compute fundamental solid foundation linux administration troubleshoot understand service level agreement objective additional experience openstack kubernetes networking security storage desirable monitoring observability technology like prometheus graphite grafana kibana elasticsearch plus good interpersonal skill proficient command english language write spoken b.offered performance-based company offer career advancement lucrative compensation include bonus stock potential also offer call book deal competitive perk benefit technology department monthly hackathons training attends/speaks global conference position open worldwide candidate case relocation assist generous relocation package ensure smooth transition work living amsterdam successfully relocate 300+ technology professional amsterdam last year value diversity type open dynamic workplace pillar booking.com since day one something continue strongly believe build today booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race colour religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive,464,3292,0.14090494989371394,22,10,4,3,8,9,2,1,10,12,2,2,7,8,16,94,7.5,16,Developer
Design & User Experience,Israel,644,3458,0.1861809771610292,95,long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel look talented mobile ux designer give freedom research design prototype idea collaborate closely developer test solution user make meaningful measurable improvement top rat mobile apps use 50 million people worldwide join machine learn office tel aviv currently remote work industry brightest people b.responsible guide principle help user help business designer mobile team 'll key part idea generation process work small start up-like group take full ownership part platform 'll work iterative improvement make part high-speed release cycle well look ahead conceptualize broader change mobile app offer across major platform 'll work developer data scientist product manager copywriter user researcher conceive analyze test idea also contribute growth booking.com interview on-boarding recruitment effort b.skilled excite design product million people use every day excel solve problem today 's user face focus need design experience tailor familiar state art native mobile app design up-to-date late trend emerge new user interface pattern portfolio series beautiful generic template collection story discus enthusiasm regret ... always get well never satisfied `` good enough '' candidate ux designer position posse broad range ability experience least three year relevant experience design product portfolio demonstrate design process comfortable part design process research exceptional ui design comfortable create wireframes polished mockups prototype need communicate e.g. sketch framer invision strength include self-driven take full ownership idea solve challenge problem comfortable work collaboratively developer data scientist product owner copywriter thrive feedback critique respond creative think iterative design passionate advocate user dedicate craft design create elegant user experience data successful designer like measure success data learn every day e-commerce understand challenge opportunity large e-commerce service offer b.offered performance-based company offer career advancement lucrative compensation include bonus stock potential discount booking.com accommodation book deal include perk benefit diverse unique colleague every corner world booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive,373,2433,0.1532456861133936,29,5,2,3,10,3,1,3,2,4,2,2,5,4,0,46,3.0,10,UX
Business Development & Support,United Kingdom,667,3880,0.17186292192733832,72,revenue integrity manager commercial car base manchester booking.com transport ltd part trip business unit booking.com technology core innovation everywhere company datasets line code a/b test thrill first night new place excitement next morning friend make journey take sight see food sample product partner people make easy everyone experience world trip business unit bridge booking.com today booking.com tomorrow lead evolution single-product company multi-product offering company unprecedented personalise travel experience heart success revenue management team car business unit responsible drive global top- bottom line performance complex operating model include agency retail principal supplier partnership agreement achieve management complex pricing model car insurance lead promotional activity globally identify fix revenue leakage secure optimize rank customer close collaboration supply management marketing analytics data science take commercial lead identify define new revenue lever use increase revenue generation work broad range internal stakeholder like product engineering supply management analytics financial planning analytics data science build lever set able maximize monetisation opportunity revenue integrity officer responsible identify present instance revenue leakage multitude department across business protection bottom line finance detection revenue leakage revenue integrity champion across wider business responsible inspire culture high performance deliver outstanding commercial result management team effective leadership team individual analyse plethora data input department across business aim find determine solution financial loss found b. responsible responsible investigate determine instance revenue leakage across entire car vertical lead conversation management team size prioritise resolution issue lead cross-departmental development fix resolve issue analyse multiple different data source determine value resolve give issue thorough understand monies move business identify potential opportunity failure financial loss responsible ensure reliable suitable reporting track process implement avoid issue resurge future drive high performance culture within revenue management team support development individual within organization steer directs people team allow achieve organizational individual objective responsible design case new customer face product lead new commercial initiative close collaboration product key internal stakeholder support development prioritisation roadmaps internal stakeholder ensure best class business review leadership team deliver company target interrogate data team multiple department across business collate information material suitable senior consumption decision make responsible delivery booking.com 's global strategy locally relevant plan b. skilled strong leadership skill solution orient result driven strong work ethic self-directed resourceful change manager strong stakeholder management ability communicate complex technical analytical topic clearly concisely level tenacious attitude uncover issue may forthcoming advanced analytical skill report building proven ability delve myriad reporting suite uncover cause perform commercial metric strong commercial skill include front back end commercial language english please apply cv english cover letter,414,2944,0.1405772495755518,14,12,3,8,8,5,7,8,8,9,1,4,10,10,2,95,8.0,12,Manager
Business Development & Support,Other,539,2862,0.1882640586797066,51,company long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across office worldwide continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready enjoy take ownership responsible internal business portfolio thrive building strong relationship phone help booking.com partner grow business provide analysis growth opportunity new product service answer yes might take next account executive dublin office pro-active communication partner region telephone internal message assist development booking.com business responsible portfolio partner first point contact answer question follow need responsible maintain stable relationship accommodation partner i.e frequent performance call contact ensure offer booking.com customer best availability competitive pricing knowledgeable booking.com product benefit usage explain partner identify opportunity partner help improve booking.com business use internal segmentation prioritise help identify new potential partner lead pas lead far follow responsible take customer service escalation relate manage portfolio solve efficient manner business partner customer support organisation event workshop webinars partner also expect attend participate partner event manage portfolio bring strong engage communication skill solution orient result driven ability influence partner phone implement suggestion strong work ethic self-directed resourceful proactive flexible capable work independently well work team ability prioritise workload efficiently manage time eye accuracy ability analytical language english write verbal date driver license return provide performance-based company competitive salary bonus great platform learn development opportunity work brightest mind planet please submit cv motivation letter english,281,1935,0.14514462809917356,11,8,6,2,5,3,1,4,5,4,1,2,5,4,1,51,4.0,8,Accounts
Marketing & Communications,Netherlands,382,2196,0.17387346381429222,53,snr project manager responsible day-to-day management full lifecycle key privacy risk project utilise key project management principle key part role take lead execute key project assign manage internal external stakeholder ensure project deliver relevant project deliverable key objective strong foster relationship key stakeholder drive project forward deliver project time role demand hybrid approach project management time require take ownership certain key deliverable owner available may necessary certain amount data capture part role b.responsible successful delivery end-to-end project lifecycle participate execution project management key privacy risk project communicate approve activity plan relevant stakeholder ensure execution participate scoping execution specific action associate project specific kpi target ensure project deliver on-time within scope kpis and/or within budget ability manage execute internal project full cycle coordinate multiple project meeting various team include legal central tech marketing team product team relevant stakeholder close task specification track result highly organise pragmatic results-focused understand draw conclusion data use drive decision make experience data capture leverage relevant tool analyze data report project lifecycle proven experience project management risk control legal high attention detail strong project management focus ability work fast pace environment change rapidly able work well independently within team b.skilled relevant university degree year year project management management experience pmi prince prefer english native language proficient handle simultaneous priority project delivery large cross-functional project experience use one trust desirable operate successfully ambiguous environment strong analytical quantitative skill able use hard data metric back assumption recommendation tech product background prefer,242,1674,0.1444776119402985,10,4,1,3,3,1,4,5,3,3,1,3,6,7,0,44,3.0,7,Manager
Security & Infrastructure,Netherlands,390,2325,0.16766981943250214,66,believe passion talent employee strength drive towards outstanding performance offer dynamic motivate sophisticated work environment culture open innovative performance-oriented scale scope commitment people high standard integrity make booking.com great place work booking.com application security team seek passionate engineer want protect world 's large travel platform attack application stack skill foundation security initiative protect security privacy customer application security team maintains signal tool infrastructure use secure booking.com product defines secure cod practice developer part team building advanced novel detection mechanism develop system automate remediation perform security indicator analysis advise product team keep customer data safe b.responsible application security subject matter expert provide security guidance constant stream new product technology use booking.com build tune detection mechanism automate response tool improve booking.com software development lifecycle conduct security assessment code review analyze ass respond application security threat b.skilled b.s m.s computer science related field equivalent experience cod experience tool development security code review bonus point java perl javascript python orgo extensive knowledge web security issue and/or mobile security issue expertise analysis large data set knowledge software development lifecycle sdlc emphasis security integration activities. eg sast dast threat model security test excellent communication ability fluent english spoken write strong team player commitment group success b.offered performance-based company offer career advancement lucrative compensation include bonus stock potential also offer call book deal competitive perk benefit technology department monthly hackathons training attends/speaks global conference position open worldwide candidate case relocation assist generous relocation package ensure smooth transition work living amsterdam successfully relocate hundred technology professional amsterdam last year,251,1808,0.13875069098949697,16,8,3,5,5,6,1,3,10,7,1,2,6,5,8,70,5.0,10,Engineer
Engineering,Netherlands,661,3670,0.18005992917461183,90,long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across world continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready booking.com partnership department look senior product manager strengthen team product leader book partnership partnership department compose 300+ people 20+ country drive significant share booking.com overall business department responsible demand face b2b relationship booking.com full accountability demand face b2b platform suite product business development account management partner american airline klm grab citibank ctrip.com senior product manager partner experience track partnership strengthen team product leader team enable transactability api demand partner ensure seamless experience customer deliver substantial impact partnership business b.responsible take full end end responsibility product include hand work develop long-term product vision inspire team colleague achieve vision share message effectively drive execution high-impact strategic project whole department identify opportunity establish strategy roadmap make vision reality work closely key stakeholder understand user need data identify gap offering develop product requirement excellent communicator able influence collaborate stakeholder level within booking.com external partner well group company opinion data-driven define key business success metric track improve upon drive product team clear plan deliver towards track 's objective b.skilled minimum year proven experience product management ideally significant part b2b and/or b2b2c past experience manage large amount stakeholder internal external preferable financial accounting corporate finance domain knowledge past exposure financial service payment big plus excellent communication skill able communicate effectively strategic vision specific detail various stakeholder leadership individual team member able write clear concise product requirement status update product result strong analytical skill able interpret data trend diagnose problem recommend effective action plan resolve issue strong stakeholder management skill strong teamwork collaboration skill essential ability work closely technical talent continually raise bar quality functionality scalability b.offered headquarters locate one vibrant city europe amsterdam performance-based company offer 29 vacation day career advancement lucrative compensation training regular hackathons opportunity travel discount booking.com accommodation book deal include perk benefit company sponsor family social activity help employee become integrate dutch culture diverse unique colleague every corner world,390,2704,0.14417744916820702,19,10,5,4,5,4,4,6,5,9,3,6,11,10,1,83,5.0,11,Manager
Engineering,Netherlands,534,3091,0.17270375161707632,80,senior product manager mobile apps partnership booking.com one world large successful travel e-commerce website vision make easy everyone experience world wherever customer go whatever book partnership department compose 300+ people 20+ country drive significant share booking.com overall business department responsible demand face b2b relationship booking.com full accountability demand face b2b platform suite product business development account management partner american airline klm grab citibank ctrip.com senior product manager responsible partnership mobile apps building partnership app experience booking.com io android apps closely work native mobile app team accompany framework make easy everyone experience world talented team engineer ux designer others create seamless experience user land booking.com app via partner platform b.responsible take full end end responsibility product include hand work develop long-term product vision inspire team colleague achieve vision share message effectively identify opportunity establish strategy roadmap make vision reality work closely key stakeholder understand user need data identify gap offering develop product requirement excellent communicator able influence collaborate stakeholder level within booking.com external partner well group company opinion data-driven define key business success metric track improve upon drive product team clear plan deliver towards track 's objective drive customer experience continually raise bar quality functionality usability b.skilled minimum year proven experience product management experience take lead building native io android application b2b 2c experience nice excellent communication skill able communicate effectively strategic vision specific detail various stakeholder leadership individual team member able write clear concise product requirement status update product result strong analytical skill able interpret data trend diagnose problem recommend effective action plan resolve issue strong organisational project management skill someone responsibility ensure multiple project complete appropriate timely manner experience stakeholder management strong teamwork collaboration skill essential drive customer experience continually raise bar quality functionality usability b.offered headquarters locate one vibrant city europe amsterdam performance-based company offer 29 vacation day career advancement lucrative compensation training regular hackathons opportunity travel discount booking.com accommodation book deal include perk benefit company sponsor family social activity help employee become integrate dutch culture diverse unique colleague every corner world,334,2356,0.14170555791260075,18,8,3,4,7,3,1,3,0,9,2,7,11,10,1,69,3.5,11,Manager
Data Science & Analytics,Netherlands,693,4079,0.1698529411764706,113,booking.com data drive decision technology core innovation everywhere company datasets line code a/b test thrill first night new place excitement next morning friend make journey take sight see food sample product partner people make easy everyone experience world partner fraud team look data savvy professional join team machine learn scientist engineer opportunity build innovative large scale machine learn model detect prevent fraud real time machine learn scientist chance work excite product play integral role bring next level chance collaborate closely scientist engineer product manager fraud investigator various business stakeholder take full ownership work initial idea generation phase implementation final product thrive booking.com result-focused innovative solid quantitative background understand complex business model logic behind partner fraud team partner fraud area provide solution fraud prevention reduce impact guest due fraud keep easy genuine property onboard quickly smoothly team also look prevention detection type supply side fraud abuse real accommodation partner willingly overcharge guest b.responsible primarily develop ml model feature development line organisational objective direction responsible timely delivery new feature good quality work multi-disciplined team take full ownership turn discovery idea product machine learn incl understand product requirement data discovery model development evaluation implementation full production pipeline batch stream-based deployment use model output deliver short-term commercial impact longer-term differentiate business value customer experience define build proof-of-concepts test new idea demonstrate potential value relevant stakeholder document share finding identify technology generalise reusable framework continuously evolve craft keep date late development ml/ai related technology upskilling need actively contribute machine learn booking.com training exploration new technology interview onboarding mentor colleague b.skilled least year relevant work experience master phd equivalent experience quantitative field computer science mathematics engineering artificial intelligence etc prior experience feature engineering solid understand fundamental machine learn concept fluency least one program language strong preference python strong work knowledge hadoop spark sql experience tensorflow plus experience put machine learn model production excellent english communication skill write verbal ability convey message team member stakeholder b.offered living work amsterdam one cosmopolitan city europe contribute high scale complex world renowned product see real-time impact work million traveller worldwide work fast-paced performance driven culture opportunity utilize technical expertise leadership capability entrepreneurial spirit promote drive impactful innovative engineering solution technical behavioural interpersonal competence advancement via on-the-job opportunity experimental project hackathons conference active community participation competitive compensation benefit package great add perk work home city booking.com booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race colour religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive,429,3075,0.1394668400520156,21,8,4,13,8,9,0,2,8,8,2,2,6,9,5,84,7.0,13,ML
Data Science & Analytics,Netherlands,415,2319,0.1788793103448276,35,need leader take control one excite travel vertical lead way growth success look talented seo strategist project management skill help grow market share globally want flex ownership skill set strategic direction role work either cambridge amsterdam office take central position within seo team.this role present excite opportunity individual love perform research analysis formulate strategy manage project take ownership performance sit within seo team go-to seo expert one key vertical expect build roadmaps present business case influence stakeholder work parallel throughout company shall responsible numerous high-impact project aim scale seo campaign custom tool new area also free suggest new idea within seo work independently self-started project well part team b.responsible formulate business strategy actionable insight base independent research analysis hold consultation session stakeholder present business case operate project manager internal seo consultant ensure delivery product recommendation met performance metric reporting work tech team deliver tool help scale growth end end ownership ideation research metric flexibility define strategy help promote seo awareness best practice across organization include educate online content stakeholder create report seo activity key kpis analyse competitor successful seo website spot new opportunity maintain deep understand key seo issue google algorithm update tool possibility understand challenge face travel website operating global multi-lingual marketplace strong familiarity web analytics tool include google analytics google webmaster tool b.skilled 4+ year experience seo exemplary demonstrable seo skill proven track record strategic seo method idea stakeholder project management skill data driven high commercial awareness ability interpret complex data ability convey complex analysis result clearly conviction level stakeholder capable suggest scale seo solution large e-commerce platform experience international search engine yandex baidu daum naver yahoo japan advantage knowledge hadoop mysql advantage,275,1814,0.15151515151515152,9,6,1,9,5,1,3,5,1,4,2,7,7,7,1,59,4.5,9,Other
Engineering,United Kingdom,1265,6818,0.18551107200469277,133,booking.com make easy everyone experience world begin take hotel booking online 20 year ago shape travel industry ever since today building platform connects part trip accommodation transport ticket tour hq manchester trip business unit help people get want go anywhere world whether customer want freedom car ease taxi economy public transport make possible team passionate help people travel see challenge opportunity always ready change go cross functional agile team product continuous delivery devops environment revolutionise online customer experience great web site mobile app data driven decision use kibana hadoop monitoring big data mi mvt test continuous improvement keep simple develop team great engineering practice focus tdd bdd principle strong focus non-functional requirement begin rather afterthought decouple service orientate architecture resilience adaptability built great journey ahead vision radically change work practice realise ambition world class engineering function technology employer choice northwest beyond make mistake challenge journey ahead commit deliver great customer experience across web mobile call centre partner channel could fit context role part connect trip ambition booking.com want ensure customer peace mind book travel particularly uncertain time part ambition delivery insurance product give customer assurance protection anything happen transportation unit already mature insurance business aim offering car rental customer peace mind planning use springboard build far seek unify insurance resource build foundation deliver insurance product segment include accommodation transportation flight attraction booking.com ambitious growth plan insurance business example opportunity include traditional area travel protection alongside new category home-sharing protection vacation rental segment look engineering multi-skilled group 450 people responsible provide technology enable rentalcars.com business fast pace dynamic excite driven environment provide service 24x7 basis provide touch point online customer experience market lead app great web site software service business system manage customer product goal create great customer experience across platform help deliver growth business look superb enthusiastic software engineer push boundary engineering brilliant solution contribute shape new future expect energy passion deliver use whole range technology solid understand engineering principle minimum expect engineer solid understand web development web technology good understand web work start request response good understand design pattern framework mvc spring boot understand continuous integration continuous delivery agile understand major browser include dev tool platform linux aws good understand security principle secure cod proficient write good quality object-oriented code simple fast load robust beneficial skill good understand asynchronous system message example rabbitmq quality first mind-set write code use technique tdd bdd good understand agile practice commercial experience e-commerce background a/b test cloud technology aws container technology docker good understand knowledge web server technology apache tomcat responsibility write high quality robust code include test sense ownership quality solution produce adhere default principle architecture quality non-functional requirement build design deliver high quality solution line guidance best practice department collaborate team others deliver high quality solution design develop reusable library apis code easy maintain understand re-use learn new technology keep abreast exist technology able apply work contribute evolution best practice department write review take responsibility clear concise comprehensive technical documentation support live product devops environment require fun large diverse technology estate therefore software engineer typically work one follow area also free move area part career development aspiration web development develop feature web site across mobile tablet desktop web site high-volume site handle million search booking year strong focus a/b test proficient html ajax bootstrapping xhtml http jquery json xml good understand style apply design web page use cs proficient javascript framework node.js react.js angular.js proficient use jsp java experience use spring/struts service development develop service component within product domain public face web site component example search pricing engine proficient use java good understand web service rest base apis use json xml good understand database technology mysql sql server understand domain driven design understand soa understand orm technology hibernate full stack development web development service development offer employee ownership work great technical challenge great new office work heart manchester great facility include subsidise canteen starbucks free breakfast fruit cycle hub excite dynamic place work 25 day paid holiday plus bank holiday rise 28 day year service great discount accommodation car rental group benefit 15 discretionary bonus 10 match pension opportunity shape future team software development kit work want colleague work life balance work business core hour 10-4 flexibility around within 37.5 hour week also open consider flexible work arrangement talent specialist discus application progress booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race colour religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive db,757,4996,0.15149089453672204,22,11,3,5,9,17,3,3,14,13,2,2,5,10,11,108,7.0,17,Developer
Design & User Experience,Singapore,339,2026,0.16724222989639861,46,job summary responsible understand need constraint user business technical implementation apply craft create practical solution achieve team business goal work directly team within subject area define execute design detail make product service useful usable desirable holistic transparent accessible mean produce innovative comprehensively-detailed design order drive execution ensure idea clearly understood others collaboration test documentation ensure design guideline best practice apply work product engineering ensure content accurately portrayed key responsibility effectively utilises variety research data well understand design user need inform design decision validate hypothesis document insight seek timely feedback critique fuel improve design solution strategy proactively seek collaboration co-design opportunity order provide holistic user experience show willingness iterate define refine solution creates high-quality design asset solution team track improve overarch user experience usability accessibility product act consistently advocate end user need perspective product area discussion review critique demonstrates apply understand book 's brand standard design system principle guideline applies work knowledge prototyping tool prototyping environment web cod language html cs etc relevant execute solution within scope team communicates effectively candidly collaboratively constructively team objective met rapport trust establish knowledge skill year experience strong interpersonal skill strong work ethic self-directed resourceful basic knowledge cs html solution orient result driven proactive flexible capable work independently well work team good communication analytical skill ability multi-task flexible attitude,214,1537,0.13914174252275682,6,4,3,5,10,4,1,0,4,5,1,3,1,7,2,50,3.5,10,UX
Security & Infrastructure,Netherlands,837,4925,0.16991473812423874,109,crisis management senior specialist group resilience report head group resilience long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across office worldwide continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready within security department booking.com security service protects financial loss brand damage strategically secure channel asset customer employee partner brand reputation transaction integrity infrastructure use world class technical capability appropriately balance management risk impact global business operation currently look senior crisis management specialist experience support development delivery crisis management program across complex organisation position offer high degree visibility drive development crisis management program b.responsible crisis management program integral part group resilience team responsible ensure organization sufficiently equip anticipate respond recover significant event pose threat people site business operation sit within wider group security resilience team role instrumental support building delivery world class crisis management program role primary function supportive help set foundational element plan policy metric dashboard support development training material significant portion day spent support crisis management program international enterprise scale delivery implementation framework position require high degree flexibility independence ability problem-solve experience draft plan policy playbook simple concise language reflect company 's culture ethic excellent digest operational information contribute uplift incident crisis response capability experience support complex enterprise level program work experience support development dynamic challenge training program house solid project management skill high attention detail comfortable handle analyse data excellent google suite microsoft suite candidate ask develop engage presentation variety audience problem-solving mindset agile think especially pressure excellent interpersonal skill team player experience mass communication platform experience conduct debriefs post incident crisis b.skilled demonstrate stakeholder management skill must able positively influence decision make level organization include senior global leadership must able grow foster strong relationship employee across function geographic location 3+ year crisis management corporate security business continuity risk management incident management experience familiarity exposure crisis management system include mass communication tool desire project management experience independent self-starter detail orient organize ability multitask excellent communication skill oral write unique audience must able guide positively influence stakeholder building trust cooperation genuine interest curiosity around world event understand may impact corporate entity must available support incident/crisis response outside regular business hour require ability meet deadline often within tight timeframes high level accuracy strong attention detail right level interpersonal analytical skill excellent google suite microsoft suite especially google slide sheet b.offered position open worldwide candidate provide assistance family generous relocation package ensure smooth transition work living amsterdam successfully relocate 300+ technology professional amsterdam last year headquarters locate one vibrant city europe amsterdam performance-based company offer 29 vacation day career advancement lucrative compensation include bonus stock potential training regular hackathons opportunity travel attend global conference discount booking.com accommodation book deal include perk benefit company sponsor family social activity help employee become integrate dutch culture diverse unique colleague every corner world,522,3759,0.13882978723404255,15,12,8,5,4,6,4,5,6,9,2,5,11,7,5,89,5.5,12,Specialist
